88,37,19,2015,1,TARDE,40,104,2.6,43.788,76.558
89,37,19,2015,1,NOITE,40,417,10.425,59.25,75
90,38,19,2015,1,MANHÃ,40,184,4.6,53.75,79
91,4,20,2015,1,NOITE,40,157,3.925,61.6,95.485
92,10,20,2015,1,NOITE,40,217,5.425,62.998,85.25
93,28,20,2015,1,MANHÃ,40,55,1.375,33.618,77.405
94,30,20,2015,1,TARDE,40,39,0.975,30.8,80.25
95,30,20,2015,1,NOITE,40,281,7.025,61.6,89.27
96,30,20,2015,1,EAD,80,160,2,49.25,80.23
97,38,20,2015,1,MANHÃ,40,110,2.75,50,98.175
98,61,20,2015,1,TARDE,40,41,1.025,33.275,64.075
99,2,21,2015,1,MANHÃ,40,71,1.775,28.6,61.325
100,2,21,2015,1,NOITE,40,116,2.9,41.528,63.8
101,4,21,2015,1,MANHÃ,40,72,1.8,42.94,88
102,4,21,2015,1,NOITE,40,171,4.275,54.24,8.55
103,10,21,2015,1,MANHÃ,40,63,1.575,41.8,70.4
104,10,21,2015,1,NOITE,40,130,3.25,51.975,77
105,24,21,2015,1,NOITE,40,122,3.05,46.75,65.75
106,30,21,2015,1,EAD,40,152,3.8,53.35,81.675
107,24,22,2015,1,NOITE,40,213,5.325,55,83.055
108,25,22,2015,1,NOITE,40,100,2.5,51.425,83.05
109,23,23,2015,1,TARDE,40,51,1.275,30.8,78.925
110,23,23,2015,1,NOITE,40,241,6.025,54.175,72.32
111,25,23,2015,1,MANHÃ,40,176,4.4,50.285,77.405
112,30,23,2015,1,EAD,80,231,2.8875,50.875,81.125
113,63,23,2015,1,MANHÃ,40,84,2.1,40.68,65.725
114,63,23,2015,1,NOITE,40,104,2.6,44.635,72.603
115,4,24,2015,1,TARDE,40,53,1.325,40.975,78.65
116,19,24,2015,1,TARDE,40,44,1.1,31.625,76.45
117,25,24,2015,1,MANHÃ,40,63,1.575,40.7,67.1
118,25,24,2015,1,NOITE,40,147,3.675,53.9,75.35
119,30,24,2015,1,EAD,40,208,5.2,60.738,81.675
120,50,24,2015,1,MANHÃ,40,185,4.625,81.25,81.25
121,9,25,2015,1,MANHÃ,40,43,1.075,23.65,63.345
122,9,25,2015,1,NOITE,40,78,1.95,40.425,77.75
123,30,25,2015,1,EAD,40,94,2.35,54.75,88.75
124,21,26,2015,1,NOITE,40,67,1.675,43.25,87.575
125,30,26,2015,1,EAD,40,121,3.025,61.325,86.625
126,51,26,2015,1,MANHÃ,40,57,1.425,18.645,77.55
127,2,27,2015,1,MANHÃ,40,44,1.1,21.45,56.65
128,2,27,2015,1,NOITE,40,59,1.475,30.525,73.5
129,30,27,2015,1,NOITE,40,102,2.55,48.75,75.075
130,30,27,2015,1,EAD,40,82,2.05,45.925,87.175
131,68,27,2015,1,MANHÃ,35,49,1.4,42.658,73.975
132,68,27,2015,1,NOITE,35,90,2.571428571,50.285,89
133,14,28,2015,1,VESPERTINO,40,165,4.125,55.75,87.45
134,24,28,2015,1,NOITE,40,130,3.25,46.75,73.15
135,25,28,2015,1,NOITE,40,130,3.25,47.85,72.875
136,30,28,2015,1,EAD,40,157,3.925,55.55,82
137,37,28,2015,1,TARDE,40,44,1.1,34,62.425
138,37,28,2015,1,NOITE,40,158,3.95,50.875,77.405
139,51,28,2015,1,MANHÃ,40,61,1.525,24.25,61.25
140,67,28,2015,1,VESPERTINO,40,64,1.6,33.55,73.733
141,68,28,2015,1,MANHÃ,40,60,1.5,28.875,78.5
142,4,29,2015,1,TARDE,40,147,3.675,59.95,80.3
143,19,29,2015,1,MANHÃ,40,82,2.05,47.025,82.5
144,22,29,2015,1,TARDE,40,93,2.325,43.725,81.75
145,25,29,2015,1,NOITE,40,292,7.3,63.28,95.15
146,30,29,2015,1,EAD,40,284,7.1,64.625,84.975
147,37,29,2015,1,MANHÃ,40,114,2.85,52.263,82.225
148,37,29,2015,1,NOITE,40,258,6.45,57.348,83.05
149,4,30,2015,1,NOITE,40,106,2.65,49.225,82.5
150,24,30,2015,1,MANHÃ,40,57,1.425,33.053,63.8
151,30,30,2015,1,EAD,40,181,4.525,55.088,72.875
152,36,30,2015,1,MANHÃ,40,47,1.175,33.25,75.5
153,37,30,2015,1,NOITE,40,137,3.425,48.125,71.5
154,3,31,2015,1,MANHÃ,40,68,1.7,24.5,70.4
155,3,31,2015,1,NOITE,40,94,2.35,46.048,75.25
156,30,31,2015,1,EAD,80,221,2.7625,53.9,84.15
157,20,32,2015,1,MANHÃ,40,130,3.25,47.3,76.84
158,20,32,2015,1,NOITE,40,270,6.75,58.575,84.975
159,34,32,2015,1,TARDE,40,65,1.625,39.05,85.315
160,34,32,2015,1,NOITE,40,245,6.125,55,87.575
161,37,32,2015,1,MANHÃ,40,117,2.925,46.475,73.903
162,37,32,2015,1,NOITE,40,267,6.675,56.1,78.1
163,52,32,2015,1,NOITE,40,136,3.4,47.85,75.625
164,2,33,2015,1,MANHÃ,40,44,1.1,27.5,69.575
165,4,33,2015,1,NOITE,40,114,2.85,55.275,78.1
166,25,33,2015,1,MANHÃ,40,42,1.05,36.16,78.1
167,30,33,2015,1,EAD,40,69,1.725,42.75,75.35
168,30,33,2015,1,NOITE,40,131,3.275,54.175,80.795
169,2,34,2015,1,TARDE,40,50,1.25,29.425,89.375
170,2,34,2015,1,NOITE,40,117,2.925,48.25,74.8
171,4,34,2015,1,TARDE,40,138,3.45,56.65,97.35
172,4,34,2015,1,NOITE,40,450,11.25,69.495,89.1
173,27,34,2015,1,MANHÃ,40,282,7.05,59.608,86.625
174,37,34,2015,1,MANHÃ,40,212,5.3,57.63,80.3
175,4,35,2015,1,MANHÃ,40,73,1.825,47.5,78.818
176,4,35,2015,1,NOITE,40,219,5.475,61.325,83.25
177,47,35,2015,1,TARDE,40,0,0,0,0
178,59,35,2015,1,MANHÃ,40,63,1.575,38.225,79.383
179,59,35,2015,1,NOITE,40,198,4.95,57.75,90.2
180,7,36,2015,1,MANHÃ,40,154,3.85,54.175,85.033
181,7,36,2015,1,NOITE,40,394,9.85,63.603,93.775
182,30,36,2015,1,EAD,80,315,3.9375,59.125,97.35
183,31,36,2015,1,TARDE,40,108,2.7,49.955,72.6
184,31,36,2015,1,NOITE,40,434,10.85,63.25,80.513
185,40,36,2015,1,MANHÃ,40,77,1.925,41.75,80.25
186,40,36,2015,1,NOITE,40,185,4.625,52.828,73.975
187,61,36,2015,1,TARDE,40,68,1.7,44.5,67.65
188,61,36,2015,1,NOITE,40,315,7.875,61.325,91.813
189,2,37,2015,1,MANHÃ,40,69,1.725,29.425,70.95
190,2,37,2015,1,NOITE,40,116,2.9,47.85,68.475
191,4,37,2015,1,TARDE,40,61,1.525,31.625,92.95
192,4,37,2015,1,NOITE,40,208,5.2,57.5,80.575
193,30,37,2015,1,EAD,40,120,3,55.275,84.7
194,36,37,2015,1,MANHÃ,40,65,1.625,46,89.75
195,64,37,2015,1,MANHÃ,40,67,1.675,41.525,74.58
196,64,37,2015,1,NOITE,40,119,2.975,49,75.9
197,30,38,2015,1,EAD,40,210,5.25,60.5,77.688
198,40,38,2015,1,NOITE,40,197,4.925,57.348,77.825
199,48,38,2015,1,MANHÃ,40,108,2.7,44,69.525
200,53,38,2015,1,TARDE,40,42,1.05,26.78,72.05
201,53,38,2015,1,NOITE,40,130,3.25,48.675,90.118
202,59,38,2015,1,MANHÃ,40,86,2.15,47.178,79.75
